ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Schwartzman D.,Molleker R.,16,206,1925,246,6,1,6,3,4,6,6,0,,,3,1,Completed,1.11,6.5
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Evans D.,Ito T.,189,150,266,360,7,5,6,1,7,6,,,,,3,0,Completed,1.36,3.2
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Kudla D.,Polmans M.,62,169,818,317,5,7,1,6,6,2,6,3,6,2,3,2,Completed,1.28,3.75
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Khachanov K.,Gojowczyk P.,11,63,2835,805,3,6,6,3,6,4,6,3,,,3,1,Completed,1.11,6.5
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,De Minaur A.,Sousa P.,29,103,1353,550,6,4,7,5,6,4,,,,,3,0,Completed,1.04,13
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Carballes Baena R.,200,75,252,714,6,1,1,6,2,6,6,1,6,4,3,2,Completed,1.3,3.5
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Mcdonald M.,Rublev A.,81,87,692,655,6,4,6,4,2,6,6,4,,,3,1,Completed,3.4,1.33
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Laaksonen H.,Basic M.,166,99,319,585,6,4,7,6,4,6,6,3,,,3,1,Completed,1.72,2.1
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Edmund K.,57,14,865,2150,6,3,6,0,7,5,,,,,3,0,Completed,1.44,2.75
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Thompson J.,Lopez F.,72,66,740,770,6,1,7,6,6,3,,,,,3,0,Completed,1.33,3.4
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Ebden M.,Struff J.L.,48,51,981,945,1,6,6,4,6,3,6,4,,,3,1,Completed,2.3,1.61
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Johnson S.,35,34,1170,1190,6,4,4,6,6,4,6,3,,,3,1,Completed,1.8,2
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Dzumhur D.,33,47,1195,985,6,0,6,4,6,0,,,,,3,0,Completed,1.53,2.5
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Sandgren T.,69,41,758,1058,6,4,7,6,4,6,6,4,,,3,1,Completed,1.72,2.1
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Millman J.,Delbonis F.,37,80,1108,696,6,3,3,6,7,6,6,2,,,3,1,Completed,1.25,4
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Norrie C.,50,68,964,760,6,3,7,6,6,2,,,,,3,0,Completed,2,1.8
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Bautista Agut R.,Murray A.,24,229,1605,220,6,4,6,4,6,7,6,7,6,2,3,2,Completed,1.2,4.5
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Tomic B.,7,88,4160,655,6,2,6,4,7,6,,,,,3,0,Completed,1.25,4
6,Melbourne,Australian Open,14/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Istomin D.,3,101,6420,577,6,3,6,4,6,4,,,,,3,0,Completed,1.03,15
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Fognini F.,Munar J.,13,79,2315,702,7,6,7,6,3,1,,,,,2,0,Retired,1.44,2.75
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Ivashka I.,Jaziri M.,84,43,658,1042,4,6,7,6,6,1,4,0,,,2,1,Retired,1.44,2.75
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Mayer L.,Jarry N.,53,45,920,1015,7,6,7,6,4,6,6,3,,,3,1,Completed,1.8,2
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Majchrzak K.,9,176,3750,291,3,6,6,7,6,0,6,2,3,0,2,2,Retired,1.02,17
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Herbert P.H.,Querrey S.,55,49,903,975,5,7,7,6,6,3,6,1,,,3,1,Completed,2.62,1.5
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Fucsovics M.,Ramos-Vinolas A.,38,64,1094,790,6,3,6,4,6,7,6,3,,,3,1,Completed,1.2,4.5
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Harrison R.,Vesely J.,83,90,660,633,6,0,7,5,6,3,,,,,3,0,Completed,1.61,2.3
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,Harris L.,19,119,1865,472,6,1,6,2,6,1,,,,,3,0,Completed,1.16,5
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Hurkacz H.,73,76,739,708,6,7,7,6,7,6,7,6,,,3,1,Completed,1.8,2
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Coric B.,Darcis S.,12,321,2435,90,6,1,6,4,6,4,,,,,3,0,Completed,1.14,5.5
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Chung H.,Klahn B.,25,78,1585,704,6,7,6,7,6,3,6,2,6,4,3,2,Completed,1.44,2.75
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Bolt A.,Sock J.,155,105,343,540,4,6,6,3,6,2,6,2,,,3,1,Completed,3.2,1.36
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Sousa J.,Pella G.,44,65,1017,790,7,6,4,6,7,6,4,6,6,2,3,2,Completed,1.72,2.1
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Vanni L.,23,163,1705,325,6,7,2,6,6,3,7,5,6,4,3,2,Completed,1.28,3.75
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Donskoy E.,Djere L.,96,92,599,627,6,7,6,4,6,1,7,6,,,3,1,Completed,2.1,1.72
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Fratangelo B.,30,133,1280,421,7,6,6,4,6,2,,,,,3,0,Completed,1.28,3.75
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Bedene A.,4,67,6385,760,6,4,6,1,6,4,,,,,3,0,Completed,1.1,7
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Goffin D.,Garin C.,22,89,1785,650,6,0,6,2,6,2,,,,,3,0,Completed,1.14,5.5
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Andujar P.,27,85,1440,658,6,2,6,3,7,6,,,,,3,0,Completed,1.11,6.5
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Daniel T.,Kokkinakis T.,82,144,691,379,5,7,4,2,,,,,,,0,1,Retired,4,1.25
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Pouille L.,Kukushkin M.,31,56,1245,890,6,1,7,5,6,4,,,,,3,0,Completed,1.57,2.37
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Copil M.,Granollers M.,60,108,823,525,6,3,6,4,6,4,,,,,3,0,Completed,1.57,2.37
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Li Z.,32,261,1215,173,6,2,6,2,6,4,,,,,3,0,Completed,1.03,15
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Tsonga J.W.,Klizan M.,177,40,290,1063,6,4,6,4,7,6,,,,,3,0,Completed,1.28,3.75
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Humbert U.,36,95,1120,613,3,6,7,6,6,4,6,7,7,6,3,2,Completed,1.57,2.37
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Krajinovic F.,Cecchinato M.,93,18,620,1889,4,6,0,6,6,1,7,6,6,4,3,2,Completed,1.57,2.37
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Popyrin A.,Zverev M.,149,70,360,746,7,5,7,6,6,4,,,,,3,0,Completed,1.44,2.75
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Gulbis E.,59,86,830,657,3,6,3,1,,,,,,,0,1,Retired,1.25,4
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Marterer M.,Sakharov G.,71,252,744,186,6,3,6,1,6,3,,,,,3,0,Completed,1.33,3.4
6,Melbourne,Australian Open,15/1/19,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Krueger M.,1,230,9135,216,6,3,6,2,6,2,,,,,3,0,Completed,1.005,29
